ISIN코드,기업명,배당기준일,1주당배당금,종가,매수주식수,총배당금,투자금대비배당률(%)
KR7024120008,KB오토시스,2022-12-31,150.0,3660.0,2732,409800.0,4.098
KR7079000006,와토스코리아,2023-12-31,200.0,4880.0,2049,409800.0,4.098
KR7025000001,KPX케미칼,2020-12-31,2250.0,54900.0,182,409500.0,4.095
KR7000850008,화천기공,2023-12-31,1300.0,31650.0,315,409500.0,4.095
KR7003470002,유안타증권,2020-12-31,125.0,3055.0,3273,409125.0,4.09125
KR7357430008,마스턴프리미어제1호위탁관리부동산투자회사,2025-03-31,61.0,1491.0,6706,409066.0,4.09066
KR7001200005,유진투자증권,2025-03-31,100.0,2445.0,4089,408900.0,4.089
KR7024090003,디씨엠,2020-12-31,500.0,12250.0,816,408000.0,4.08
KR7037350006,성도이엔지,2024-12-31,200.0,4900.0,2040,408000.0,4.08
KR7001120005,LX인터내셔널,2023-12-31,1200.0,29400.0,340,408000.0,4.08
KR7030000004,제일기획,2020-12-31,840.0,20600.0,485,407400.0,4.074
KR7009180001,한솔로지스틱스,2024-03-29,100.0,2455.0,4073,407300.0,4.073
KR7015890007,태경산업,2020-12-31,240.0,5890.0,1697,407280.0,4.0728
KR7105560007,KB금융지주,2020-12-31,1770.0,43400.0,230,407100.0,4.071000000000001
KR7003300001,한일홀딩스,2021-12-31,550.0,13500.0,740,407000.0,4.07
KR7018120006,진로발효,2023-12-31,650.0,15950.0,626,406900.0,4.069
KR7036190007,금화피에스시,2021-12-31,1300.0,31850.0,313,406900.0,4.069
KR7001800002,오리온홀딩스,2021-12-31,650.0,15950.0,626,406900.0,4.069
KR7126640002,화신정공,2024-12-31,50.0,1229.0,8136,406800.0,4.0680000000000005
KR7170030001,현대공업,2024-12-31,200.0,4915.0,2034,406800.0,4.0680000000000005
KR7221980006,케이디켐,2023-12-31,500.0,12300.0,813,406500.0,4.0649999999999995
KR7016380008,케이지스틸,2025-03-31,250.0,6150.0,1626,406500.0,4.0649999999999995
KR7026040006,제이에스티나,2022-12-31,100.0,2465.0,4056,405600.0,4.056
KR7119610004,인터로조,2025-12-31,650.0,16010.0,624,405600.0,4.056
KR7128660008,피제이메탈,2023-12-31,150.0,3700.0,2702,405300.0,4.053
KR7014530000,극동유화,2020-12-31,140.0,3455.0,2894,405160.0,4.0516000000000005
KR7130660004,한전산업개발,2023-12-31,297.0,7330.0,1364,405108.0,4.05108
KR7010470003,오리콤,2020-12-31,220.0,5430.0,1841,405020.0,4.0502
KR7347890006,엠투아이코퍼레이션,2024-12-31,220.0,5430.0,1841,405020.0,4.0502
KR7014530000,극동유화,2021-12-31,160.0,3950.0,2531,404960.0,4.0496
KR7053280004,예스이십사,2022-12-31,200.0,4940.0,2024,404800.0,4.048
KR7010240000,흥국,2023-12-31,240.0,5930.0,1686,404640.0,4.0464
KR7334890001,이지스밸류플러스위탁관리부동산투자회사,2025-12-05,171.866,4250.0,2352,404228.83200000005,4.04228832
KR7089470009,HDC현대EP,2025-03-31,140.0,3465.0,2886,404040.0,4.0404
KR7225190008,엘케이삼양,2022-12-31,400.0,9910.0,1009,403600.0,4.036
KR7339770000,교촌에프앤비,2023-12-31,300.0,7430.0,1345,403500.0,4.035
KR7152550000,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),2023-12-28,14.0,347.0,28818,403452.0,4.03452
KR7015890007,태경산업,2021-12-31,270.0,6700.0,1492,402840.0,4.0284
KR7046440004,케이지모빌리언스,2023-12-31,220.0,5460.0,1831,402820.0,4.0282
KR7008370009,원풍,2022-12-31,200.0,4965.0,2014,402800.0,4.0280000000000005
KR7052600004,한네트,2024-12-31,180.0,4475.0,2234,402120.0,4.021199999999999
KR7272550005,삼양패키징,2022-12-31,750.0,18650.0,536,402000.0,4.02
KR7018670000,SK가스,2023-12-31,6000.0,148000.0,67,402000.0,4.02
KR7296640006,이노룰스,2024-12-31,250.0,6220.0,1607,401750.0,4.0175
KR7031430002,신세계인터내셔날,2025-03-31,400.0,9960.0,1004,401600.0,4.016
KR7415640002,케이비발해인프라투융자회사,2025-06-30,325.0,8100.0,1234,401050.0,4.0105
KR7049960008,쎌바이오텍,2023-12-31,450.0,11220.0,891,400950.0,4.0095
KR7001520006,동양,2023-12-31,40.0,999.0,10010,400400.0,4.004
KR7009770009,삼정펄프,2023-12-31,1000.0,24950.0,400,400000.0,4.0
KR7001520006,동양,2022-12-31,40.0,1000.0,10000,400000.0,4.0
KR7272550005,삼양패키징,2021-12-31,1000.0,25000.0,400,400000.0,4.0
KR7006140008,피제이전자,2024-12-31,180.0,4500.0,2222,399960.0,3.9996
KR7010770006,평화홀딩스,2022-12-31,150.0,3750.0,2666,399900.0,3.999
KR7405100009,큐알티,2022-12-31,480.0,12000.0,833,399840.0,3.9984
KR7021320007,케이씨씨건설,2024-12-31,160.0,4005.0,2496,399360.0,3.9936
KR7029530003,신도리코,2024-12-31,1500.0,37500.0,266,399000.0,3.99
KR7138040001,메리츠금융지주,2023-12-31,2360.0,59100.0,169,398840.0,3.9884
KR7194370003,제이에스코퍼레이션,2020-12-31,300.0,7520.0,1329,398700.0,3.987
KR7028050003,삼성이앤에이,2024-12-31,660.0,16550.0,604,398640.0,3.9864
KR7092440007,기신정기,2024-03-31,120.0,3010.0,3322,398640.0,3.9864
KR7023000003,삼원강재,2020-12-31,105.0,2635.0,3795,398475.0,3.98475
KR7140520008,대창스틸,2020-12-31,100.0,2510.0,3984,398400.0,3.984
KR7035890003,서희건설,2022-12-31,45.0,1130.0,8849,398205.0,3.98205
KR7058860008,케이티아이에스,2023-12-31,120.0,3015.0,3316,397920.0,3.9792
KR7018670000,SK가스,2021-12-31,5100.0,127500.0,78,397800.0,3.978
KR7282330000,비지에프리테일(신설),2025-02-28,4100.0,102100.0,97,397700.0,3.977
KR7015860000,일진홀딩스,2024-12-31,150.0,3775.0,2649,397350.0,3.9735
KR7053210001,케이티스카이라이프,2020-12-31,350.0,8810.0,1135,397250.0,3.9725
KR7005850003,에스엘,2024-12-31,1200.0,30150.0,331,397200.0,3.972
KR7071840003,롯데하이마트,2021-12-31,1000.0,25150.0,397,397000.0,3.97
KR7214180002,헥토이노베이션,2024-12-31,490.0,12340.0,810,396900.0,3.969
KR7000850008,화천기공,2024-12-31,1050.0,26450.0,378,396900.0,3.969
KR7010470003,오리콤,2025-04-04,270.0,6800.0,1470,396900.0,3.969
KR7121060008,유니포인트,2020-12-31,50.0,1260.0,7936,396800.0,3.968
KR7171120009,라이온켐텍,2024-12-31,100.0,2520.0,3968,396800.0,3.968
KR7078000007,텔코웨어,2020-12-31,480.0,12100.0,826,396480.0,3.9648
KR7105560007,KB금융지주,2021-12-31,2190.0,55000.0,181,396390.0,3.9639
KR7377190004,디앤디플랫폼위탁관리부동산투자회사,2025-03-31,126.0,3180.0,3144,396144.0,3.96144
KR7002100006,경농,2022-12-31,400.0,10100.0,990,396000.0,3.96
KR7007590003,동방아그로,2022-12-31,250.0,6310.0,1584,396000.0,3.96
KR7005380001,현대자동차,2022-12-31,6000.0,151000.0,66,396000.0,3.96
KR7006120000,에스케이디스커버리,2022-12-31,1200.0,30250.0,330,396000.0,3.96
KR7215000001,골프존,2022-12-31,4500.0,112800.0,88,396000.0,3.96
KR7109860007,동일금속,2024-12-31,320.0,8100.0,1234,394880.0,3.9488
KR7377190004,디앤디플랫폼위탁관리부동산투자회사,2024-09-30,139.0,3525.0,2836,394204.0,3.94204
KR7034810002,해성산업,2024-12-31,225.0,5710.0,1751,393975.0,3.93975
KR7013030002,하이록코리아,2023-12-31,1050.0,26650.0,375,393750.0,3.9375
KR7058860008,케이티아이에스,2021-12-31,100.0,2540.0,3937,393700.0,3.937
KR7007070006,지에스리테일,2021-12-31,1200.0,30400.0,328,393600.0,3.936
KR7136540002,윈스테크넷,2022-12-31,500.0,12700.0,787,393500.0,3.935000000000001
KR7016250003,에스지씨이앤씨,2024-12-31,500.0,12700.0,787,393500.0,3.935000000000001
KR7023000003,삼원강재,2022-12-31,105.0,2670.0,3745,393225.0,3.93225
KR7048430003,유라테크,2024-12-31,300.0,7630.0,1310,393000.0,3.93
KR7016090003,대현,2021-12-31,90.0,2290.0,4366,392940.0,3.9294
KR7051600005,한전KPS,2022-12-31,1305.0,33200.0,301,392805.0,3.92805
KR7088260005,이리츠코크렙기업구조조정부동산투자회사,2025-06-30,174.0,4430.0,2257,392718.0,3.92718
KR7010240000,흥국,2022-12-31,220.0,5600.0,1785,392700.0,3.927
KR7015860000,일진홀딩스,2022-12-31,150.0,3820.0,2617,392550.0,3.9255
KR7365550003,이에스알켄달스퀘어위탁관리부동산투자회사,2023-11-30,137.0,3490.0,2865,392505.0,3.92505
KR7072710007,농심홀딩스,2024-12-31,2500.0,63400.0,157,392500.0,3.925
KR7016800005,퍼시스,2023-12-31,1200.0,30500.0,327,392400.0,3.923999999999999
KR7020000006,한섬,2023-12-31,750.0,19120.0,523,392250.0,3.9225
KR7145990008,삼양사,2023-12-31,1750.0,44600.0,224,392000.0,3.92
KR7009770009,삼정펄프,2022-12-31,1000.0,25500.0,392,392000.0,3.92
KR7130660004,한전산업개발,2024-12-31,367.0,9360.0,1068,391956.0,3.91956
KR7045100005,한양이엔지,2024-12-31,650.0,16570.0,603,391950.0,3.9195
KR7021240007,코웨이,2024-12-31,2630.0,66900.0,149,391870.0,3.9187
KR7002020006,코오롱,2024-12-31,550.0,14030.0,712,391600.0,3.916
KR7350520003,이지스레지던스위탁관리부동산투자회사,2024-12-31,150.0,3830.0,2610,391500.0,3.915
KR7001790005,대한제당,2020-12-31,900.0,22950.0,435,391500.0,3.915
KR7161000005,애경케미칼,2020-12-31,350.0,8940.0,1118,391300.0,3.913
KR7122450000,케이엑스이노베이션,2023-12-31,200.0,5110.0,1956,391200.0,3.912
KR7039490008,키움증권,2025-12-31,11500.0,289500.0,34,391000.0,3.91
KR7001940006,KISCO홀딩스,2025-06-20,1000.0,25550.0,391,391000.0,3.91
KR7108230004,톱텍,2023-12-31,300.0,7670.0,1303,390900.0,3.909
KR7032640005,LG유플러스,2023-12-31,400.0,10230.0,977,390800.0,3.907999999999999
KR7023590003,다우기술,2023-12-31,700.0,17890.0,558,390600.0,3.906
KR7088260005,이리츠코크렙기업구조조정부동산투자회사,2024-06-30,186.0,4760.0,2100,390600.0,3.906
KR7007590003,동방아그로,2020-12-31,250.0,6400.0,1562,390500.0,3.905
KR7086790003,하나금융지주,2020-12-31,1350.0,34500.0,289,390150.0,3.9015
KR7046440004,케이지모빌리언스,2022-12-31,220.0,5640.0,1773,390060.0,3.9006
KR7009770009,삼정펄프,2024-12-31,1000.0,25600.0,390,390000.0,3.9
KR7111710000,남화산업,2024-12-31,200.0,5130.0,1949,389800.0,3.898
KR7001200005,유진투자증권,2021-12-31,140.0,3595.0,2781,389340.0,3.8934
KR7108670001,LX하우시스,2023-12-31,1700.0,43600.0,229,389300.0,3.893
KR7003650009,미창석유공업,2023-12-31,2800.0,71700.0,139,389200.0,3.892
KR7002450005,삼익악기,2022-12-31,50.0,1285.0,7782,389100.0,3.891
KR7039420005,케이엘넷,2024-12-31,100.0,2570.0,3891,389100.0,3.891
KR7088260005,이리츠코크렙기업구조조정부동산투자회사,2023-06-30,200.0,5140.0,1945,389000.0,3.89
KR7069260008,티케이지휴켐스,2020-12-31,1000.0,25650.0,389,389000.0,3.89
KR7108320003,LX세미콘,2025-02-28,2400.0,61400.0,162,388800.0,3.888
KR7400760005,엔에이치올원위탁관리부동산투자회사,2023-06-30,138.0,3550.0,2816,388608.0,3.88608
KR7234080000,제이더블유생명과학,2023-12-31,500.0,12870.0,777,388500.0,3.885
KR7016250003,에스지씨이앤씨,2023-12-31,750.0,19280.0,518,388500.0,3.885
KR7316140003,우리금융지주,2025-02-28,660.0,17000.0,588,388080.0,3.8808
KR7137950002,제이씨케미칼,2024-12-31,150.0,3870.0,2583,387450.0,3.8745
KR7138930003,BNK금융지주,2025-02-28,450.0,11610.0,861,387450.0,3.8745
KR7026890004,스틱인베스트먼트,2022-12-31,200.0,5160.0,1937,387400.0,3.874
KR7007690001,국도화학,2021-12-31,2200.0,56500.0,176,387200.0,3.872
KR7377190004,디앤디플랫폼위탁관리부동산투자회사,2024-03-31,138.0,3565.0,2805,387090.0,3.8709
KR7095610002,테스,2024-12-31,600.0,15500.0,645,387000.0,3.87
KR7131090003,시큐브,2025-12-31,150.0,3875.0,2580,387000.0,3.87
KR7045100005,한양이엔지,2023-12-31,600.0,15500.0,645,387000.0,3.87
KR7058850009,케이티씨에스,2021-12-31,100.0,2585.0,3868,386800.0,3.868
KR7267290005,경동도시가스,2021-12-31,875.0,22600.0,442,386750.0,3.8675
KR7084010008,대한제강,2023-12-31,500.0,12920.0,773,386500.0,3.865
KR7030190003,나이스평가정보,2025-03-31,460.0,11900.0,840,386400.0,3.864
KR7024090003,디씨엠,2021-12-31,900.0,23300.0,429,386100.0,3.861
KR7036560001,케이젯정밀,2021-12-31,350.0,9060.0,1103,386050.0,3.8605
KR7032640005,LG유플러스,2025-03-31,400.0,10370.0,964,385600.0,3.856
KR7016090003,대현,2024-12-31,90.0,2335.0,4282,385380.0,3.8538
KR7021080007,에이티넘인베스트먼트,2020-12-31,100.0,2595.0,3853,385300.0,3.853
KR7071840003,롯데하이마트,2020-12-31,1200.0,31150.0,321,385200.0,3.852
KR7065530008,와이어블,2024-12-31,50.0,1298.0,7704,385200.0,3.852
KR7357250000,미래에셋맵스제1호위탁관리부동산투자회사,2022-11-30,135.0,3505.0,2853,385155.0,3.85155
KR7051600005,한전KPS,2020-12-31,1146.0,29700.0,336,385056.0,3.85056
KR7072710007,농심홀딩스,2023-12-31,2500.0,64800.0,154,385000.0,3.85
KR7001680008,대상,2023-12-31,800.0,20750.0,481,384800.0,3.848
KR7036640001,에이치알에스,2022-12-31,200.0,5200.0,1923,384600.0,3.846
KR7149010001,아이케이세미콘,2024-12-31,200.0,5200.0,1923,384600.0,3.846
KR7000140004,하이트진로홀딩스,2024-12-31,350.0,9100.0,1098,384300.0,3.843
KR7054930003,유신,2024-12-31,900.0,23400.0,427,384300.0,3.843
KR7096240007,크레버스,2022-06-30,1000.0,26000.0,384,384000.0,3.84
KR7003550001,LG,2022-12-31,3000.0,78100.0,128,384000.0,3.84
KR7037440005,희림종합건축사사무소,2020-12-31,150.0,3905.0,2560,384000.0,3.84
KR7039240007,경남스틸,2023-12-31,120.0,3125.0,3200,384000.0,3.84
KR7034830000,한국토지신탁,2021-12-31,100.0,2605.0,3838,383800.0,3.838
KR7015860000,일진홀딩스,2023-12-31,150.0,3910.0,2557,383550.0,3.8355
KR7400760005,엔에이치올원위탁관리부동산투자회사,2024-06-30,140.0,3650.0,2739,383460.0,3.8346
KR7016740003,두올,2024-12-31,120.0,3130.0,3194,383280.0,3.8328
KR7002230001,피에스텍,2024-12-31,150.0,3915.0,2554,383100.0,3.830999999999999
KR7264660002,씨앤지하이테크,2022-12-31,450.0,11750.0,851,382950.0,3.8295
KR7032640005,LG유플러스,2020-12-31,450.0,11750.0,851,382950.0,3.8295
KR7053210001,케이티스카이라이프,2021-12-31,350.0,9140.0,1094,382900.0,3.829
KR7383800000,엘엑스홀딩스,2023-12-31,270.0,7050.0,1418,382860.0,3.8286
KR7005160007,동국산업,2020-12-31,130.0,3395.0,2945,382850.0,3.8285
KR7001940006,KISCO홀딩스,2022-12-31,600.0,15650.0,638,382800.0,3.828
KR7053260006,금강철강,2024-12-31,150.0,3920.0,2551,382650.0,3.8265
KR7011170008,롯데케미칼,2021-12-31,8300.0,217000.0,46,381800.0,3.818
KR7003570009,에스앤티다이내믹스,2023-12-31,550.0,14400.0,694,381700.0,3.817
KR7000240002,한국앤컴퍼니,2021-12-31,600.0,15700.0,636,381600.0,3.816
KR7404990004,신한서부티엔디위탁관리부동산투자회사,2023-12-31,140.0,3670.0,2724,381360.0,3.8136
KR7005180005,빙그레,2022-12-31,1500.0,39250.0,254,381000.0,3.81
KR7005090006,에스지씨에너지,2020-12-31,1500.0,39250.0,254,381000.0,3.81
KR7025880006,케이씨피드,2024-12-31,100.0,2625.0,3809,380900.0,3.809
KR7010120004,엘에스일렉트릭,2023-12-31,2800.0,73200.0,136,380800.0,3.808
KR7039570007,에이치디씨랩스,2020-12-31,400.0,10500.0,952,380800.0,3.808
KR7096760004,제이더블유홀딩스,2024-12-31,115.0,3020.0,3311,380765.0,3.80765
KR7348950007,제이알글로벌위탁관리부동산투자회사,2022-06-30,190.0,4990.0,2004,380760.0,3.8076
KR7024880007,케이피에프,2025-04-03,150.0,3940.0,2538,380700.0,3.807
KR7002810000,삼영무역,2021-12-31,550.0,14450.0,692,380600.0,3.806
KR7030610000,교보증권,2022-12-31,200.0,5260.0,1901,380200.0,3.802
KR7018670000,SK가스,2020-12-31,4000.0,104500.0,95,380000.0,3.8
KR7010130003,고려아연,2021-12-31,20000.0,511000.0,19,380000.0,3.8
KR7000150003,두산,2020-12-31,2000.0,52400.0,190,380000.0,3.8
KR7033530007,에스제이지세종,2024-12-31,150.0,3950.0,2531,379650.0,3.7965
KR7138490008,코오롱이앤피,2024-12-31,200.0,5270.0,1897,379400.0,3.794
KR7055550008,신한금융지주회사,2021-12-31,1400.0,36800.0,271,379400.0,3.794
KR7204020002,그리티,2024-12-31,110.0,2900.0,3448,379280.0,3.7928
KR7111110003,호전실업,2023-12-31,300.0,7920.0,1262,378600.0,3.786
KR7404990004,신한서부티엔디위탁관리부동산투자회사,2024-12-31,130.0,3435.0,2911,378430.0,3.7843
KR7044450005,케이에스에스해운,2022-12-31,350.0,9250.0,1081,378350.0,3.7835
KR7044450005,케이에스에스해운,2023-12-31,350.0,9250.0,1081,378350.0,3.7835
KR7000480004,시알홀딩스,2025-07-31,200.0,5290.0,1890,378000.0,3.78
KR7001940006,KISCO홀딩스,2023-12-31,900.0,23800.0,420,378000.0,3.78
KR7017670001,SK텔레콤,2020-12-31,9000.0,238000.0,42,378000.0,3.78
KR7071050009,한국투자금융지주,2020-12-31,3000.0,79000.0,126,378000.0,3.78
KR7306200007,세아제강,2025-03-28,7000.0,183000.0,54,378000.0,3.78
KR7344820006,케이씨씨글라스,2022-12-31,1400.0,36950.0,270,378000.0,3.78
KR7005810007,풍산홀딩스,2023-12-31,1400.0,36950.0,270,378000.0,3.78
KR7079000006,와토스코리아,2022-12-31,200.0,5290.0,1890,378000.0,3.78
KR7036670008,삼양케이씨아이,2024-12-31,250.0,6610.0,1512,378000.0,3.78
KR7169330008,마크로밀엠브레인,2023-06-30,120.0,3175.0,3149,377880.0,3.7788
KR7035810001,이지홀딩스,2023-12-31,120.0,3180.0,3144,377280.0,3.7728
KR7277410007,인산가,2021-12-31,80.0,2120.0,4716,377280.0,3.7728
KR7009680000,모토닉,2021-12-31,400.0,10600.0,943,377200.0,3.772
KR7053620001,태양,2022-12-31,300.0,7950.0,1257,377100.0,3.771
KR7213500002,한솔제지,2022-12-31,500.0,13250.0,754,377000.0,3.77
KR7221980006,케이디켐,2020-12-31,500.0,13250.0,754,377000.0,3.77
KR7021650007,한국큐빅,2024-12-31,85.0,2255.0,4434,376890.0,3.7689
KR7051380004,피씨디렉트,2022-12-31,300.0,7960.0,1256,376800.0,3.768
KR7057050007,현대홈쇼핑,2021-12-31,2400.0,63400.0,157,376800.0,3.768
KR7175330000,JB금융지주,2025-02-28,680.0,18050.0,554,376720.0,3.7672
KR7079000006,와토스코리아,2024-12-31,200.0,5310.0,1883,376600.0,3.766
KR7021080007,에이티넘인베스트먼트,2021-12-31,200.0,5310.0,1883,376600.0,3.766
KR7138070008,신진에스엠,2022-12-31,100.0,2655.0,3766,376600.0,3.766
KR7028100006,동아지질,2024-03-11,500.0,13290.0,752,376000.0,3.76
KR7093190007,빅솔론,2021-12-31,250.0,6650.0,1503,375750.0,3.7575
KR7011760006,현대코퍼레이션,2020-12-31,600.0,15950.0,626,375600.0,3.756
KR7002920007,유성기업,2021-12-31,120.0,3195.0,3129,375480.0,3.7548
KR7023760002,한국캐피탈,2022-12-31,28.0,746.0,13404,375312.0,3.75312
KR7115310005,인포바인,2021-12-31,900.0,23950.0,417,375300.0,3.753
KR7334890001,이지스밸류플러스위탁관리부동산투자회사,2025-06-05,172.83,4605.0,2171,375213.93000000005,3.752139300000001
KR7404990004,신한서부티엔디위탁관리부동산투자회사,2025-06-30,130.0,3465.0,2886,375180.0,3.7518
KR7072710007,농심홀딩스,2022-12-31,2500.0,66500.0,150,375000.0,3.75
KR7088260005,이리츠코크렙기업구조조정부동산투자회사,2022-12-31,195.0,5200.0,1923,374985.0,3.74985
KR7018120006,진로발효,2021-12-31,1150.0,30650.0,326,374900.0,3.749
KR7003570009,에스앤티다이내믹스,2022-12-31,350.0,9340.0,1070,374500.0,3.745
KR7456040005,OCI,2024-12-31,2200.0,58500.0,170,374000.0,3.74
KR7010060002,OCI홀딩스,2024-12-31,2200.0,58800.0,170,374000.0,3.74
KR7038500005,삼표시멘트,2024-12-31,110.0,2945.0,3395,373450.0,3.7345
KR7058850009,케이티씨에스,2024-12-31,100.0,2680.0,3731,373100.0,3.731
KR7064480007,브리지텍,2022-12-31,150.0,4020.0,2487,373050.0,3.7305
KR7007700008,에프앤에프홀딩스,2024-12-31,450.0,12060.0,829,373050.0,3.7305
KR7194370003,제이에스코퍼레이션,2022-12-31,500.0,13400.0,746,373000.0,3.73
KR7004970000,신라교역,2021-12-31,500.0,13400.0,746,373000.0,3.73
KR7284740008,쿠쿠홈시스,2023-12-31,800.0,21450.0,466,372800.0,3.728
KR7006840003,에이케이홀딩스,2025-03-18,400.0,10720.0,932,372800.0,3.728
KR7122990005,와이솔,2022-12-31,250.0,6710.0,1490,372500.0,3.725
KR7010960003,삼호개발,2021-12-31,190.0,5100.0,1960,372400.0,3.724
KR7008060006,대덕,2021-12-31,300.0,8060.0,1240,372000.0,3.72
KR7036640001,에이치알에스,2023-12-31,200.0,5380.0,1858,371600.0,3.716
KR7013030002,하이록코리아,2020-12-31,500.0,13450.0,743,371500.0,3.715
KR7000080002,하이트진로,2022-12-31,950.0,25550.0,391,371450.0,3.7145
KR7027410000,비지에프,2025-02-28,130.0,3500.0,2857,371410.0,3.7141
KR7357120005,코람코라이프인프라위탁관리부동산투자회사,2025-05-31,163.0,4390.0,2277,371151.0,3.71151
KR7290120005,디에이치오토리드,2022-12-31,200.0,5390.0,1855,371000.0,3.71
KR7032540007,티제이미디어,2022-12-31,230.0,6200.0,1612,370760.0,3.7076
KR7298050006,HS효성첨단소재,2024-12-31,6500.0,174600.0,57,370500.0,3.705
KR7053690004,한미글로벌건축사사무소,2021-12-31,450.0,12150.0,823,370350.0,3.7035
KR7101530004,해태제과식품,2023-12-31,200.0,5400.0,1851,370200.0,3.702
KR7011760006,현대코퍼레이션,2022-12-31,600.0,16200.0,617,370200.0,3.702
KR7091700005,파트론,2022-12-31,300.0,8100.0,1234,370200.0,3.702
KR7000650002,천일고속,2021-12-31,2500.0,67300.0,148,370000.0,3.7
KR7025540006,한국단자공업,2025-12-31,2500.0,67300.0,148,370000.0,3.7
KR7111110003,호전실업,2022-12-31,300.0,8110.0,1233,369900.0,3.699
KR7003800000,에이스침대,2022-12-31,1330.0,35900.0,278,369740.0,3.6974
KR7316140003,우리금융지주,2020-12-31,360.0,9730.0,1027,369720.0,3.6972
KR7005500004,삼진제약,2023-12-31,800.0,21600.0,462,369600.0,3.696
KR7348950007,제이알글로벌위탁관리부동산투자회사,2021-06-30,190.0,5150.0,1941,368790.0,3.6879
KR7039570007,에이치디씨랩스,2021-12-31,450.0,12200.0,819,368550.0,3.6855
KR7000140004,하이트진로홀딩스,2021-12-31,450.0,12200.0,819,368550.0,3.6855
KR7000480004,시알홀딩스,2024-12-31,210.0,5700.0,1754,368340.0,3.6834
KR7058650003,세아홀딩스,2023-12-31,4000.0,108000.0,92,368000.0,3.68
KR7058650003,세아홀딩스,2022-12-31,4000.0,108000.0,92,368000.0,3.68
KR7092460005,한라아이엠에스,2024-12-31,300.0,8150.0,1226,367800.0,3.678
KR7376290003,씨유테크,2021-12-31,260.0,7070.0,1414,367640.0,3.6764
KR7003010006,혜인,2024-12-31,180.0,4895.0,2042,367560.0,3.6756
KR7145990008,삼양사,2024-12-31,1750.0,47600.0,210,367500.0,3.675
KR7330590001,롯데위탁관리부동산투자회사,2024-12-31,112.0,3050.0,3278,367136.0,3.67136
KR7004150009,한솔홀딩스,2022-12-31,120.0,3270.0,3058,366960.0,3.6696
KR7038390001,레드캡투어,2022-12-31,700.0,19050.0,524,366800.0,3.668
KR7122310006,제노레이,2026-02-27,150.0,4090.0,2444,366600.0,3.666
KR7005160007,동국산업,2021-12-31,130.0,3545.0,2820,366600.0,3.666
KR7039010004,현대에이치티,2021-12-31,350.0,9550.0,1047,366450.0,3.6645
KR7383800000,엘엑스홀딩스,2022-12-31,310.0,8460.0,1182,366420.0,3.6642
KR7357120005,코람코라이프인프라위탁관리부동산투자회사,2023-05-31,200.0,5460.0,1831,366200.0,3.662
KR7011760006,현대코퍼레이션,2024-12-31,700.0,19110.0,523,366100.0,3.661
KR7004690004,삼천리,2020-12-31,3000.0,81400.0,122,366000.0,3.66
KR7023150006,MH에탄올,2023-12-31,250.0,6830.0,1464,366000.0,3.66
KR7002150001,도화엔지니어링,2021-12-31,280.0,7650.0,1307,365960.0,3.6596
KR7013120001,동원개발,2020-12-31,185.0,5060.0,1976,365560.0,3.6556
KR7192400000,쿠쿠홀딩스,2021-12-31,700.0,19150.0,522,365400.0,3.654
KR7079000006,와토스코리아,2020-12-31,200.0,5480.0,1824,364800.0,3.648
KR7001680008,대상,2022-12-31,800.0,21900.0,456,364800.0,3.648
KR7001790005,대한제당,2021-12-31,110.0,3020.0,3311,364210.0,3.6421
KR7306200007,세아제강,2021-12-31,3500.0,95600.0,104,364000.0,3.64
KR7286940002,롯데이노베이트,2025-03-26,700.0,19200.0,520,364000.0,3.64
KR7092730001,네오팜,2022-12-31,700.0,19200.0,520,364000.0,3.64
KR7069510006,에스텍,2022-12-31,300.0,8240.0,1213,363900.0,3.639
KR7079980009,휴비스,2020-12-31,300.0,8240.0,1213,363900.0,3.639
KR7041520008,이엘씨,2020-12-31,600.0,16500.0,606,363600.0,3.636
KR7028670008,팬오션,2024-12-31,120.0,3300.0,3030,363600.0,3.636
KR7147830004,제룡산업,2024-12-31,200.0,5500.0,1818,363600.0,3.636
KR7035510007,신세계아이앤씨,2022-12-31,500.0,13750.0,727,363500.0,3.635
KR7396690000,미래에셋글로벌위탁관리부동산투자회사,2024-03-31,120.062,3305.0,3025,363187.55,3.6318755
KR7350520003,이지스레지던스위탁관리부동산투자회사,2025-06-30,150.0,4130.0,2421,363150.0,3.6315
KR7213500002,한솔제지,2025-03-31,300.0,8260.0,1210,363000.0,3.63
KR7377190004,디앤디플랫폼위탁관리부동산투자회사,2025-09-30,120.0,3305.0,3025,363000.0,3.63
KR7000270009,기아,2021-12-31,3000.0,82200.0,121,363000.0,3.63
KR7008370009,원풍,2020-12-31,160.0,4415.0,2265,362400.0,3.624
KR7017390006,서울도시가스,2023-12-31,2250.0,61800.0,161,362250.0,3.6225
KR7290120005,디에이치오토리드,2024-12-31,80.0,2210.0,4524,361920.0,3.6192
KR7032640005,LG유플러스,2022-12-31,400.0,11050.0,904,361600.0,3.616
KR7293480000,하나제약,2024-01-15,510.0,14100.0,709,361590.0,3.6159
KR7001790005,대한제당,2023-12-31,115.0,3180.0,3144,361560.0,3.6156
KR7026960005,동서,2022-12-31,730.0,20200.0,495,361350.0,3.6135
KR7017480005,삼현철강,2020-12-31,150.0,4150.0,2409,361350.0,3.6135
KR7001680008,대상,2025-03-31,850.0,23500.0,425,361250.0,3.6125
