ISIN코드,기업명,배당기준일,1주당배당금,종가,매수주식수,총배당금,투자금대비배당률(%)
KR7123890006,한국자산신탁,2020-12-31,220.0,3940.0,2538,558360.0,5.5836
KR7009410002,태영건설,2022-12-31,225.0,4030.0,2481,558225.0,5.58225
KR7051600005,한전KPS,2024-12-31,2469.0,44100.0,226,557994.0,5.57994
KR7462520008,조선내화,2025-08-01,800.0,14340.0,697,557600.0,5.576
KR7175330000,JB금융지주,2024-02-29,735.0,13200.0,757,556395.0,5.56395
KR7039570007,에이치디씨랩스,2025-03-31,450.0,8100.0,1234,555300.0,5.553
KR7147830004,제룡산업,2023-12-31,200.0,3610.0,2770,554000.0,5.54
KR7000480004,시알홀딩스,2021-12-31,4500.0,81000.0,123,553500.0,5.535
KR7004990008,롯데지주,2023-12-31,1500.0,27050.0,369,553500.0,5.535
KR7051390003,YW,2024-12-31,200.0,3615.0,2766,553200.0,5.532
KR7190650002,코리아에셋투자증권,2022-03-31,700.0,12650.0,790,553000.0,5.53
KR7029780004,삼성카드,2020-12-31,1800.0,32500.0,307,552600.0,5.526
KR7140520008,대창스틸,2023-12-31,150.0,2715.0,3683,552450.0,5.524500000000001
KR7014530000,극동유화,2022-12-31,200.0,3630.0,2754,550800.0,5.508
KR7002990000,금호건설,2020-12-31,500.0,9080.0,1101,550500.0,5.505
KR7067570002,엔브이에이치코리아,2023-12-31,150.0,2725.0,3669,550350.0,5.5035
KR7001720002,신영증권,2020-03-31,2500.0,45350.0,220,550000.0,5.5
KR7005010004,휴스틸,2021-12-31,800.0,14550.0,687,549600.0,5.496
KR7002810000,삼영무역,2024-12-31,700.0,12730.0,785,549500.0,5.495
KR7005440003,현대지에프홀딩스,2023-12-31,200.0,3640.0,2747,549400.0,5.494000000000001
KR7058850009,케이티씨에스,2022-12-31,120.0,2185.0,4576,549120.0,5.4912
KR7005090006,에스지씨에너지,2022-12-31,1700.0,30950.0,323,549100.0,5.491
KR7023760002,한국캐피탈,2024-12-31,30.0,547.0,18281,548430.0,5.4843
KR7461300006,아이스크림미디어,2025-09-30,1186.0,21600.0,462,547932.0,5.47932
KR7096240007,크레버스,2023-06-30,1000.0,18260.0,547,547000.0,5.47
KR7004970000,신라교역,2020-12-31,500.0,9140.0,1094,547000.0,5.47
KR7138930003,BNK금융지주,2024-02-29,410.0,7500.0,1333,546530.0,5.4653
KR7005830005,디비손해보험,2024-03-29,5300.0,96300.0,103,545900.0,5.459
KR7033780008,케이티앤지,2022-12-31,5000.0,91500.0,109,545000.0,5.45
KR7011560000,세보엠이씨,2024-12-31,550.0,10100.0,990,544500.0,5.445
KR7003080009,에스비성보,2024-12-31,135.0,2480.0,4032,544320.0,5.4432
KR7000390005,삼화페인트공업,2025-02-28,350.0,6430.0,1555,544250.0,5.4425
KR7006060008,화승인더스트리,2023-12-31,188.0,3455.0,2894,544072.0,5.440720000000001
KR7009680000,모토닉,2023-12-31,450.0,8270.0,1209,544050.0,5.4405
KR7016360000,삼성증권,2020-12-31,2200.0,40450.0,247,543400.0,5.434
KR7095570008,에이제이네트웍스,2023-12-31,270.0,4980.0,2008,542160.0,5.4216
KR7000950006,전방,2024-12-31,1000.0,18440.0,542,542000.0,5.42
KR7094820008,일진파워,2020-12-31,300.0,5540.0,1805,541500.0,5.415
KR7085910008,네오티스,2022-12-31,250.0,4615.0,2166,541500.0,5.415
KR7016450009,한세예스24홀딩스,2022-12-31,250.0,4625.0,2162,540500.0,5.405
KR7001420009,태원물산,2024-12-31,200.0,3700.0,2702,540400.0,5.404
KR7344860002,이노진,2024-12-31,80.0,1481.0,6752,540160.0,5.4016
KR7094800000,미래에셋맵스리얼티부동산공모투자회사,2025-12-31,275.0,5090.0,1964,540100.0,5.401
KR7037460003,삼지전자,2022-12-31,450.0,8330.0,1200,540000.0,5.4
KR7432320000,케이비스타위탁관리부동산투자회사,2025-01-31,180.0,3335.0,2998,539640.0,5.3964
KR7190650002,코리아에셋투자증권,2020-03-31,300.0,5560.0,1798,539400.0,5.394
KR7016360000,삼성증권,2022-12-31,1700.0,31450.0,317,538900.0,5.389
KR7123890006,한국자산신탁,2021-12-31,220.0,4085.0,2447,538340.0,5.3834
KR7357430008,마스턴프리미어제1호위탁관리부동산투자회사,2023-09-30,153.0,2845.0,3514,537642.0,5.3764199999999995
KR7003300001,한일홀딩스,2022-12-31,580.0,10800.0,925,536500.0,5.365
KR7244880001,나눔테크,2024-12-31,100.0,1865.0,5361,536100.0,5.361
KR7298540006,더네이쳐홀딩스,2024-12-31,500.0,9320.0,1072,536000.0,5.36
KR7001500008,현대차증권,2020-12-31,675.0,12600.0,793,535275.0,5.3527499999999995
KR7004990008,롯데지주,2025-03-31,1200.0,22400.0,446,535200.0,5.351999999999999
KR7396690000,미래에셋글로벌위탁관리부동산투자회사,2025-03-31,141.847,2650.0,3773,535188.731,5.35188731
KR7007330004,푸른저축은행,2021-12-31,650.0,12150.0,823,534950.0,5.3495
KR7094800000,미래에셋맵스리얼티부동산공모투자회사,2021-12-31,250.0,4675.0,2139,534750.0,5.3475
KR7139130009,아이엠금융지주,2025-02-28,500.0,9350.0,1069,534500.0,5.345
KR7003570009,에스앤티다이내믹스,2024-12-31,1000.0,18710.0,534,534000.0,5.34
KR7060980000,에이치엘홀딩스,2020-12-31,2000.0,37400.0,267,534000.0,5.34
KR7092230002,KPX홀딩스,2023-12-31,2750.0,51300.0,194,533500.0,5.335
KR7032830002,삼성생명보험,2023-12-31,3700.0,69100.0,144,532800.0,5.328
KR7024110009,중소기업은행,2020-12-31,471.0,8840.0,1131,532701.0,5.3270100000000005
KR7009160003,심팩,2024-12-31,200.0,3755.0,2663,532600.0,5.3260000000000005
KR7000070003,삼양홀딩스,2024-12-31,3500.0,65500.0,152,532000.0,5.319999999999999
KR7004970000,신라교역,2024-12-31,500.0,9390.0,1064,532000.0,5.319999999999999
KR7002960003,한국쉘석유,2020-12-31,14000.0,258500.0,38,532000.0,5.319999999999999
KR7002230001,피에스텍,2022-12-31,200.0,3760.0,2659,531800.0,5.318
KR7046440004,케이지모빌리언스,2025-12-31,250.0,4700.0,2127,531750.0,5.3175
KR7058430000,포스코스틸리온,2025-03-28,2160.0,40500.0,246,531360.0,5.3136
KR7330730003,스톤브릿지벤처스,2024-12-31,200.0,3765.0,2656,531200.0,5.312
KR7009240003,한샘,2023-09-30,3000.0,56300.0,177,531000.0,5.3100000000000005
