ISIN코드,기업명,배당기준일,기준종가일,종가,1주당배당금,공시배당률,투자금액,시가배당률(%),매수주식수,총배당금,투자금대비배당률(%)
KR7001040005,씨제이,2021-12-31,2021-12-30,83400.0,2300.0,46.0,10000000.0,2.7577937649880093,119,273700.0,2.7369999999999997
KR7001040005,씨제이,2022-12-31,2022-12-29,84100.0,2500.0,50.0,10000000.0,2.972651605231867,118,295000.0,2.9499999999999997
KR7001040005,씨제이,2024-04-05,2024-04-04,132100.0,3000.0,60.0,10000000.0,2.2710068130204393,75,225000.0,2.25
KR7001040005,씨제이,2025-04-04,2025-04-03,122900.0,3000.0,60.0,10000000.0,2.4410089503661516,81,243000.0,2.4299999999999997
KR7000910000,유니온,2020-12-31,2020-12-30,5950.0,125.0,25.0,10000000.0,2.100840336134454,1680,210000.0,2.1
KR7000910000,유니온,2021-12-31,2021-12-30,7540.0,125.0,25.0,10000000.0,1.6578249336870028,1326,165750.0,1.6575
KR7000910000,유니온,2022-12-31,2022-12-29,4705.0,125.0,25.0,10000000.0,2.6567481402763016,2125,265625.0,2.65625
KR7000910000,유니온,2023-12-31,2023-12-28,5530.0,125.0,25.0,10000000.0,2.2603978300180834,1808,226000.0,2.26
KR7000910000,유니온,2024-12-31,2024-12-30,5030.0,125.0,25.0,10000000.0,2.485089463220676,1988,248500.0,2.485
KR7000950006,전방,2022-12-31,2022-12-29,44450.0,1000.0,20.0,10000000.0,2.249718785151856,224,224000.0,2.2399999999999998
KR7000950006,전방,2024-12-31,2024-12-30,18440.0,1000.0,20.0,10000000.0,5.42299349240781,542,542000.0,5.42
KR7000970004,한국주철관공업,2020-03-31,2020-03-30,6680.0,200.0,40.0,10000000.0,2.9940119760479043,1497,299400.0,2.994
KR7000970004,한국주철관공업,2020-12-31,2020-12-30,8330.0,200.0,40.0,10000000.0,2.4009603841536618,1200,240000.0,2.4
KR7000970004,한국주철관공업,2021-12-31,2021-12-30,9100.0,400.0,80.0,10000000.0,4.395604395604396,1098,439200.0,4.392
